DATAFLOW,LAST UPDATE,freq,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2013,0.56,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2014,0.69,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2015,0.87,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2016,0.63,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2017,0.57,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2018,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2019,0.95,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2020,0.96,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2021,,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,AT,2022,0.64,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2013,0.45,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2014,0.48,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2015,0.46,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2016,0.78,
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2017,0.60,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2018,0.40,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2019,0.45,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2020,0.68,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2021,0.63,bu
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BE,2022,0.54,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2013,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2014,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2015,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2016,,u
ESTAT:SPRT_EMP_EDU(1.0),13/06/23 11:00:00,A,ED0-2,PC_EMP,BG,2017,,u
