DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2013,25.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2014,27.8,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2015,35.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2016,27.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2017,26.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2018,24.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2019,30.9,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2020,30.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2021,26.0,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,AT,2022,28.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2013,21.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2014,20.1,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2015,19.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2016,23.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2017,23.2,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2018,23.5,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2019,24.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2020,27.7,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2021,25.7,b
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BE,2022,30.2,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2013,9.0,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2014,9.3,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2015,10.6,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2016,11.5,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2017,13.4,
ESTAT:SPRT_EMP_SEX(1.0),13/06/23 11:00:00,A,T,THS_PER,BG,2018,12.8,
