geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH,1.6,2.8,3.0,4.0,3.5,3.2,3.6,3.4,2.6,2.5
CZ,0.7,0.8,1.0,1.6,1.7,1.9,2.0,1.3,1.2,1.3
DE,9.1,7.8,11.4,11.4,13.8,12.6,13.9,,13.4,14.5
ES,1.1,,,1.0,2.3,1.1,1.4,,,2.2
EU27_2020,26.6,27.6,35.3,35.4,35.6,40.3,38.4,35.3,38.4,46.3
FR,3.7,3.0,8.7,8.3,4.5,7.9,,,5.4,6.7
IT,,,,1.9,3.3,2.5,1.5,2.1,2.4,2.9
NL,3.7,4.9,3.7,2.1,1.7,3.1,4.8,3.7,5.0,8.1
SE,3.1,3.4,3.4,3.2,2.4,2.7,,,,
TR,,1.3,1.1,0.9,,0.9,0.6,,,
UK,20.5,16.1,15.7,17.6,17.6,22.9,14.4,,,
